   1.41900 + 0.00000i  -0.86082 + 0.00000i
   1.42000 + 0.00000i  -0.85389 + 0.00000i
   1.42100 + 0.00000i  -0.84704 + 0.00000i
   1.42200 + 0.00000i  -0.84028 + 0.00000i
   1.42300 + 0.00000i  -0.83360 + 0.00000i
   1.42400 + 0.00000i  -0.82700 + 0.00000i
   1.42500 + 0.00000i  -0.82048 + 0.00000i
   1.42600 + 0.00000i  -0.81403 + 0.00000i
   1.42700 + 0.00000i  -0.80766 + 0.00000i
   1.42800 + 0.00000i  -0.80136 + 0.00000i
   1.42900 + 0.00000i  -0.79513 + 0.00000i
   1.43000 + 0.00000i  -0.78897 + 0.00000i
   1.43100 + 0.00000i  -0.78288 + 0.00000i
   1.43200 + 0.00000i  -0.77685 + 0.00000i
   1.43300 + 0.00000i  -0.77088 + 0.00000i
   1.43400 + 0.00000i  -0.76498 + 0.00000i
   1.43500 + 0.00000i  -0.75914 + 0.00000i
   1.43600 + 0.00000i  -0.75335 + 0.00000i
   1.43700 + 0.00000i  -0.74762 + 0.00000i
   1.43800 + 0.00000i  -0.74195 + 0.00000i
   1.43900 + 0.00000i  -0.73634 + 0.00000i
   1.44000 + 0.00000i  -0.73078 + 0.00000i
   1.44100 + 0.00000i  -0.72527 + 0.00000i
   1.44200 + 0.00000i  -0.71981 + 0.00000i
   1.44300 + 0.00000i  -0.71441 + 0.00000i
   1.44400 + 0.00000i  -0.70905 + 0.00000i
   1.44500 + 0.00000i  -0.70374 + 0.00000i
   1.44600 + 0.00000i  -0.69848 + 0.00000i
   1.44700 + 0.00000i  -0.69327 + 0.00000i
   1.44800 + 0.00000i  -0.68810 + 0.00000i
   1.44900 + 0.00000i  -0.68298 + 0.00000i
   1.45000 + 0.00000i  -0.67790 + 0.00000i
   1.45100 + 0.00000i  -0.67287 + 0.00000i
   1.45200 + 0.00000i  -0.66788 + 0.00000i
   1.45300 + 0.00000i  -0.66293 + 0.00000i
   1.45400 + 0.00000i  -0.65802 + 0.00000i
   1.45500 + 0.00000i  -0.65315 + 0.00000i
   1.45600 + 0.00000i  -0.64832 + 0.00000i
   1.45700 + 0.00000i  -0.64353 + 0.00000i
   1.45800 + 0.00000i  -0.63877 + 0.00000i
   1.45900 + 0.00000i  -0.63406 + 0.00000i
   1.46000 + 0.00000i  -0.62938 + 0.00000i
   1.46100 + 0.00000i  -0.62474 + 0.00000i
   1.46200 + 0.00000i  -0.62013 + 0.00000i
   1.46300 + 0.00000i  -0.61556 + 0.00000i
   1.46400 + 0.00000i  -0.61103 + 0.00000i
   1.46500 + 0.00000i  -0.60652 + 0.00000i
   1.46600 + 0.00000i  -0.60206 + 0.00000i
   1.46700 + 0.00000i  -0.59762 + 0.00000i
   1.46800 + 0.00000i  -0.59322 + 0.00000i
   1.46900 + 0.00000i  -0.58885 + 0.00000i
   1.47000 + 0.00000i  -0.58451 + 0.00000i
   1.47100 + 0.00000i  -0.58020 + 0.00000i
   1.47200 + 0.00000i  -0.57592 + 0.00000i
   1.47300 + 0.00000i  -0.57167 + 0.00000i
   1.47400 + 0.00000i  -0.56745 + 0.00000i
   1.47500 + 0.00000i  -0.56326 + 0.00000i
   1.47600 + 0.00000i  -0.55910 + 0.00000i
   1.47700 + 0.00000i  -0.55497 + 0.00000i
   1.47800 + 0.00000i  -0.55087 + 0.00000i
   1.47900 + 0.00000i  -0.54679 + 0.00000i
   1.48000 + 0.00000i  -0.54274 + 0.00000i
   1.48100 + 0.00000i  -0.53872 + 0.00000i
   1.48200 + 0.00000i  -0.53473 + 0.00000i
   1.48300 + 0.00000i  -0.53076 + 0.00000i
   1.48400 + 0.00000i  -0.52681 + 0.00000i
   1.48500 + 0.00000i  -0.52290 + 0.00000i
   1.48600 + 0.00000i  -0.51900 + 0.00000i
   1.48700 + 0.00000i  -0.51513 + 0.00000i
   1.48800 + 0.00000i  -0.51129 + 0.00000i
   1.48900 + 0.00000i  -0.50747 + 0.00000i
   1.49000 + 0.00000i  -0.50368 + 0.00000i
   1.49100 + 0.00000i  -0.49990 + 0.00000i
   1.49200 + 0.00000i  -0.49616 + 0.00000i
   1.49300 + 0.00000i  -0.49243 + 0.00000i
   1.49400 + 0.00000i  -0.48873 + 0.00000i
   1.49500 + 0.00000i  -0.48505 + 0.00000i
   1.49600 + 0.00000i  -0.48139 + 0.00000i
   1.49700 + 0.00000i  -0.47775 + 0.00000i
   1.49800 + 0.00000i  -0.47414 + 0.00000i
   1.49900 + 0.00000i  -0.47054 + 0.00000i
